iter	Passed	Remaining
737	25569	9077
738	25601	9041
739	25633	9006
740	25669	8972
741	25700	8936
742	25734	8901
743	25767	8866
744	25804	8832
745	25836	8797
746	25872	8762
747	25908	8728
748	25954	8697
749	25994	8664
750	26031	8630
751	26065	8595
752	26108	8563
753	26153	8532
754	26191	8499
755	26221	8463
756	26257	8428
757	26289	8393
758	26324	8358
759	26357	8323
760	26391	8288
761	26424	8253
762	26466	8220
763	26502	8186
764	26535	8151
765	26569	8116
766	26604	8081
767	26647	8049
768	26682	8015
769	26712	7979
770	26743	7943
771	26775	7907
772	26815	7874
773	26848	7839
774	26878	7803
775	26909	7767
776	26941	7732
777	26982	7699
778	27017	7664
779	27052	7630
780	27091	7596
781	27137	7565
782	27177	7531
783	27210	7496
784	27251	7463
785	27281	7427
786	27313	7392
787	27342	7356
788	27376	7321
789	27405	7284
790	27443	7251
791	27478	7216
792	27523	7184
793	27560	7150
794	27594	7115
795	27635	7082
796	27669	7047
797	27699	7011
798	27736	6977
799	27767	6941
800	27800	6906
801	27834	6871
802	27870	6837
803	27904	6802
804	27944	6769
805	27979	6734
806	28013	6699
807	28051	6665
808	28093	6632
809	28130	6598
810	28180	6567
811	28212	6532
812	28245	6496
813	28280	6462
814	28317	6427
815	28349	6392
816	28390	6359
817	28425	6324
818	28462	6290
819	28500	6256
820	28536	6221
821	28575	6187
822	28622	6155
823	28653	6120
824	28699	6087
825	28732	6052
826	28769	6018
827	28803	5983
828	28838	5948
829	28870	5913
830	28908	5879
831	28939	5843
832	28975	5809
833	29005	5773
834	29039	5738
835	29072	5703
836	29107	5668
837	29136	5632
838	29181	5599
839	29212	5564
840	29249	5529
841	29278	5494
842	29313	5459
843	29343	5423
844	29389	5390
845	29422	5355
846	29461	5321
847	29498	5287
848	29531	5252
849	29566	5217
850	29599	5182
851	29631	5147
852	29667	5112
853	29699	5077
854	29736	5042
855	29772	5008
856	29806	4973
857	29840	4938
858	29878	4904
859	29911	4869
860	29948	4834
861	29980	4799
862	30013	4764
863	30050	4730
864	30084	4695
865	30113	4659
866	30147	4624
867	30188	4590
868	30220	4555
869	30254	4520
870	30291	4486
871	30325	4451
872	30359	4416
873	30393	4381
874	30433	4347
875	30466	4312
876	30503	4278
877	30537	4243
878	30586	4210
879	30619	4175
880	30657	4141
881	30690	4105
882	30729	4071
883	30758	4036
884	30793	4001
885	30823	3965
886	30856	3931
887	30885	3895
888	30924	3861
889	30956	3826
890	30992	3791
891	31026	3756
892	31061	3721
893	31095	3686
894	31137	3653
895	31179	3619
896	31214	3584
897	31248	3549
898	31289	3515
899	31322	3480
900	31355	3445
901	31385	3410
902	31419	3375
903	31450	3339
904	31484	3304
905	31516	3269
906	31553	3235
907	31586	3200
908	31631	3166
909	31663	3131
910	31707	3097
911	31738	3062
912	31780	3028
913	31812	2993
914	31856	2959
915	31891	2924
916	31931	2890
917	31963	2855
918	31995	2820
919	32027	2785
920	32062	2750
921	32092	2714
922	32126	2680
923	32162	2645
924	32211	2611
925	32248	2577
926	32287	2542
927	32318	2507
928	32352	2472
929	32386	2437
930	32422	2402
931	32453	2367
932	32490	2333
933	32523	2298
934	32559	2263
935	32595	2228
936	32632	2194
937	32664	2159
938	32702	2124
939	32733	2089
940	32771	2054
941	32805	2019
942	32839	1984
943	32869	1949
944	32910	1915
945	32943	1880
946	32978	1845
947	33009	1810
948	33042	1775
949	33078	1740
950	33120	1706
951	33152	1671
952	33214	1638
953	33250	1603
954	33292	1568
955	33326	1533
956	33362	1499
957	33395	1464
958	33426	1429
959	33455	1393
960	33489	1359
961	33521	1324
962	33557	1289
963	33589	1254
964	33635	1219
965	33671	1185
966	33707	1150
967	33741	1115
968	33777	1080
969	33813	1045
970	33849	1010
971	33879	975
972	33912	941
973	33947	906
974	33985	871
975	34019	836
976	34065	801
977	34099	767
978	34135	732
979	34170	697
980	34223	662
981	34255	627
982	34295	593
983	34327	558
984	34363	523
985	34397	488
986	34444	453
987	34483	418
988	34519	383
989	34554	349
990	34595	314
991	34628	279
992	34663	244
993	34697	209
994	34736	174
995	34766	139
996	34799	104
997	34830	69
998	34870	34
999	34906	0
