iter	RMSE
168	0.2822101077
169	0.2818808558
170	0.2813924199
171	0.2809203548
172	0.2804308687
173	0.2797342345
174	0.2788821391
175	0.2784273572
176	0.27747916
177	0.2769260023
178	0.2761611075
179	0.2756271781
180	0.2749491056
181	0.2739332786
182	0.2735252479
183	0.2728570826
184	0.2723493952
185	0.2716868709
186	0.2713526078
187	0.2711207935
188	0.2702132964
189	0.2697465643
190	0.2692829864
191	0.2688426622
192	0.2681424245
193	0.2676461235
194	0.2671754157
195	0.2666480127
196	0.266183943
197	0.265714373
198	0.2652707261
199	0.2648786415
200	0.2643845842
201	0.2640320518
202	0.2633896694
203	0.2630267596
204	0.2622315659
205	0.2619927886
206	0.2614836611
207	0.2608102459
208	0.2604342089
209	0.2596314731
210	0.2588866803
211	0.2584888415
212	0.2582145028
213	0.257763277
214	0.2573969711
215	0.2567443113
216	0.256391638
217	0.256123112
218	0.2557880924
219	0.2550543238
220	0.2543289111
221	0.2538672881
222	0.25331268
223	0.2529673135
224	0.252488437
225	0.2519528912
226	0.2512159135
227	0.2509395246
228	0.2507161853
229	0.2502976253
230	0.2500036326
231	0.2495421003
232	0.2489893314
233	0.2485905244
234	0.2477453432
235	0.2470966374
236	0.2464630199
237	0.2459918085
238	0.2453518195
239	0.244756464
240	0.2442903777
241	0.2439751512
242	0.2435228735
243	0.242973207
244	0.242674386
245	0.2424247952
246	0.2420820801
247	0.241857589
248	0.2416605442
249	0.2413962506
250	0.2409580518
251	0.2405390136
252	0.2401176636
253	0.2398964302
254	0.2393262943
255	0.2390797506
256	0.2388191655
257	0.2384587659
258	0.2380426398
259	0.2376311306
260	0.2371964545
261	0.2369834539
262	0.2365100467
263	0.2362267605
264	0.235991895
265	0.2354985419
266	0.2352164143
267	0.234687589
268	0.2340718749
269	0.233777358
270	0.2334211186
271	0.2330352078
272	0.2327594375
273	0.2322904331
274	0.2320718654
275	0.231540777
276	0.2313174329
277	0.2308147795
278	0.23030233
279	0.2301023652
280	0.2297396092
281	0.2293778905
282	0.2288791013
283	0.2284311458
284	0.2280990163
285	0.2279631313
286	0.2276262815
287	0.2272100445
288	0.2270578144
289	0.226674834
290	0.2264536626
291	0.2261964168
292	0.2258190192
293	0.2253412931
294	0.2251816969
295	0.2249861865
296	0.2246888168
297	0.2244112631
298	0.2241120173
299	0.223762302
300	0.2234390103
301	0.2232244115
302	0.2230407665
303	0.2228788319
304	0.2226511881
305	0.2222646668
306	0.2218029326
307	0.2215274332
308	0.221058608
309	0.2205898477
310	0.2202162694
311	0.2198096091
312	0.2194504393
313	0.2193357261
314	0.2191661645
315	0.2190025557
316	0.2187386082
317	0.2184908019
318	0.2182004041
319	0.2176948592
320	0.217502904
321	0.2171696764
322	0.2169770059
323	0.2166725136
324	0.216469052
325	0.2160082997
326	0.2158228386
327	0.2156973593
328	0.2153966725
329	0.2152382235
330	0.2149576325
331	0.2146688205
332	0.2143094959
333	0.2141679548
334	0.2139668216
335	0.2137406393
336	0.213603773
337	0.2133928165
338	0.2131497198
339	0.2128173788
340	0.2125395723
341	0.2121863857
342	0.2119580447
343	0.2116651009
344	0.2114998891
345	0.2111562169
346	0.2108567074
347	0.2105598747
348	0.2102953634
349	0.2099076453
350	0.2096260714
351	0.2095320835
352	0.2092980356
353	0.2091625037
354	0.208988967
355	0.2087528633
356	0.208369116
357	0.2080542349
358	0.2079147576
359	0.2076718035
360	0.2074796866
361	0.2071966044
362	0.2070033468
363	0.2067589755
364	0.2064107292
365	0.2062816431
366	0.2059194912
367	0.2056149497
368	0.2053345909
369	0.2050398863
370	0.2048525847
371	0.2046194374
372	0.2042951551
373	0.2042247525
374	0.2040399918
375	0.203986087
376	0.2037075517
377	0.2034547275
378	0.2031617276
379	0.2030543804
380	0.2028755814
381	0.2027089236
382	0.2025574863
383	0.2022618743
384	0.2021325425
385	0.2017698683
386	0.2015381948
387	0.2014414455
388	0.2013420469
389	0.2010514593
390	0.2009351146
391	0.2007514439
392	0.2005416845
393	0.2002653927
394	0.2000001461
395	0.1995569126
396	0.1994627654
397	0.1993716106
398	0.1991846272
399	0.1989322371
400	0.1986698583
401	0.1984850115
402	0.1982561774
403	0.1980205921
404	0.1978171503
405	0.1976657074
406	0.1974512748
407	0.1972044025
408	0.196806237
409	0.1964880572
410	0.1961681163
411	0.1959053864
412	0.1956707385
413	0.1953910294
414	0.1952725023
415	0.1950590802
416	0.1948053144
417	0.1946555507
418	0.1944073484
419	0.1940510717
420	0.1939329714
421	0.1936336976
422	0.1933778643
423	0.193147837
424	0.1929126266
425	0.1926002567
426	0.1923932385
427	0.1921780164
428	0.1920144565
429	0.1919220463
430	0.1918176152
431	0.1915467083
432	0.1912779253
433	0.1911262818
434	0.1909022015
435	0.1906190868
436	0.19049514
437	0.1902478482
438	0.190053313
439	0.1898440781
440	0.1897093101
441	0.1895065
442	0.1892978286
443	0.1891370277
444	0.1888951558
445	0.1885212302
446	0.1882077705
447	0.1878946904
448	0.1876891139
449	0.1875093123
450	0.1872765599
451	0.1871121474
452	0.1869311728
453	0.1864848485
454	0.1863121968
455	0.1861217329
456	0.1857486209
457	0.1854754774
458	0.1852969745
459	0.1851874994
460	0.1850191567
461	0.1849212461
462	0.1847595139
463	0.1844603999
464	0.1840939962
465	0.1838259816
466	0.1836121644
467	0.1834888952
468	0.1832066471
469	0.1830918683
470	0.1827799624
471	0.1825885951
472	0.1824266502
473	0.182228149
474	0.1821167294
475	0.181973642
476	0.1817946852
477	0.1815695322
478	0.1813859235
479	0.1812122519
480	0.1809418644
481	0.1808387136
482	0.1806774984
483	0.1805602001
484	0.1804030048
485	0.1802855065
486	0.1801117845
487	0.1799837813
488	0.1797739337
489	0.1796503008
490	0.1795008081
491	0.1792101192
492	0.1791542193
493	0.1789896477
494	0.1787768206
495	0.1785430016
496	0.1784183991
497	0.1782939811
498	0.178050264
499	0.1779026065
500	0.1777309679
501	0.177567434
502	0.1773017162
503	0.1771347658
504	0.1769297573
505	0.1767458503
506	0.1765221075
507	0.1764477965
508	0.1762264437
509	0.1760575953
510	0.1758428901
511	0.1757432982
512	0.1756262803
513	0.1754137523
514	0.175259644
515	0.1751296181
516	0.1749686737
517	0.1748100084
518	0.174654284
519	0.1744657258
520	0.1743340826
521	0.1741965657
522	0.1740548277
523	0.1738483687
524	0.1736935359
525	0.1735219577
526	0.1733956031
527	0.1732341365
528	0.1730536495
529	0.1729685104
530	0.172714331
531	0.1726004358
532	0.1724115945
533	0.172345702
534	0.1720801879
535	0.1719277676
536	0.1718147845
537	0.1715935164
538	0.1714867237
539	0.1713349072
540	0.1712136959
541	0.1711061044
542	0.1709967494
543	0.170766385
544	0.1706537223
545	0.1704799524
546	0.1703797101
547	0.1702781149
548	0.1702128869
549	0.1700422029
550	0.1698498072
551	0.1695337299
552	0.1694281771
553	0.1693162281
554	0.1691571586
555	0.1690486068
556	0.1688936751
557	0.1687918345
558	0.1686470034
559	0.1685506024
560	0.1684865215
561	0.1683602675
562	0.1682421791
563	0.1680098273
564	0.1678148386
565	0.1676003241
566	0.1675377939
567	0.1674391745
568	0.1671844013
569	0.1671180031
570	0.1669352067
571	0.1668726665
572	0.1666267648
573	0.1664616
574	0.1663698042
575	0.1662174698
576	0.1660880788
577	0.1659386905
578	0.1657611188
579	0.1656461719
580	0.1655132222
581	0.1653981618
582	0.1653313285
583	0.1652664593
584	0.1650832254
585	0.1648783618
586	0.1647632612
587	0.16462406
588	0.1644772743
589	0.1642968269
590	0.1641621034
591	0.1639958779
592	0.1638397917
593	0.1637148699
594	0.1636547936
595	0.1635940138
596	0.1634860798
597	0.1633515421
598	0.163216654
599	0.1631339438
600	0.162997312
601	0.1628812733
602	0.1627294501
603	0.1625590458
604	0.1624498796
605	0.1622864147
606	0.1621936481
607	0.1620544436
608	0.1618291392
609	0.1616952764
610	0.1616570218
611	0.1615548455
612	0.1613351071
613	0.1611972464
614	0.1610177767
615	0.1608919494
616	0.1607606042
617	0.1606633733
618	0.1604779404
619	0.1602868085
620	0.1601861334
621	0.1600462521
622	0.1598253507
623	0.1595755403
624	0.1594390299
625	0.1592609681
626	0.1589885494
627	0.1588486394
628	0.1586765793
629	0.1584753337
630	0.1584169539
631	0.1582639563
632	0.1581657314
633	0.1580515637
634	0.1579480998
635	0.1579113233
636	0.1577602361
637	0.1576760182
638	0.1574686145
639	0.1572821843
640	0.1570752242
641	0.1569906767
642	0.1566944263
643	0.1565690394
644	0.1564570462
645	0.1563471665
646	0.1562908756
647	0.1561199401
648	0.155958364
649	0.1557939985
650	0.1556516429
651	0.1555949377
652	0.1554441621
653	0.155397949
654	0.1552648224
655	0.1551796261
656	0.1550690171
657	0.1549941651
658	0.1546128123
659	0.1544761949
660	0.1543741774
661	0.1542270278
662	0.1539519538
663	0.1537807333
664	0.1536515748
665	0.1535167686
666	0.1534019604
667	0.153300562
668	0.1531894113
669	0.1530783766
670	0.1529516582
671	0.1528701287
672	0.1527516807
673	0.1525706915
674	0.1524218015
675	0.1523252822
676	0.1522329902
677	0.1520483561
678	0.1519417251
679	0.1518609676
680	0.1517615233
681	0.1516830962
682	0.1516044036
683	0.1515174729
684	0.151382582
685	0.1512906192
686	0.1511901306
687	0.1511326738
688	0.1510152804
689	0.1509227792
690	0.1508127127
691	0.1507557961
692	0.150692463
693	0.1505171642
694	0.150286317
695	0.1501717493
696	0.1500775411
697	0.1500461445
698	0.1499254089
699	0.1498395625
700	0.1497132212
701	0.1495339068
702	0.14934306
703	0.1492531846
704	0.1491653924
705	0.1490364868
706	0.1489420696
707	0.1488634777
708	0.1486592936
709	0.148563174
710	0.148414912
711	0.1483080043
712	0.1482247834
713	0.148119309
714	0.1480225608
715	0.1478967418
716	0.1478012043
717	0.147676657
718	0.147574462
719	0.1474879201
720	0.147359749
721	0.1472155732
722	0.1471229314
723	0.1470440902
724	0.1469708483
725	0.1468872779
726	0.146644192
727	0.1465738758
728	0.1464179777
729	0.1462956119
730	0.1461549666
731	0.1460096439
732	0.1458583006
733	0.1457256374
734	0.1455923022
735	0.1455043996
736	0.145436091
737	0.1453296023
738	0.1452116739
739	0.1450650553
740	0.1449245233
741	0.1447867888
742	0.1446399587
743	0.1444305035
744	0.1443335908
745	0.1442967787
746	0.1441456602
747	0.1440898544
748	0.1439199422
749	0.1437852159
750	0.143689707
751	0.1436156593
752	0.1434651491
753	0.1433875713
754	0.1433216376
755	0.1432457691
756	0.1431749103
757	0.1431036411
758	0.1430144848
759	0.1429280337
760	0.1428215179
761	0.1426862364
762	0.1426073126
763	0.1424446679
764	0.1423459103
765	0.1422662407
766	0.1421294142
767	0.1420474927
768	0.1418173547
769	0.1417679236
770	0.1416649398
771	0.1416071769
772	0.1414839852
773	0.1413754989
774	0.1412731384
775	0.1411960114
776	0.1411305
777	0.1410766649
778	0.140984604
779	0.1409133274
780	0.1407281467
781	0.1405856643
782	0.1405303667
783	0.1404305867
784	0.1403262879
785	0.1402416035
786	0.1401936577
787	0.1401014926
788	0.1399898649
789	0.1399288014
790	0.1398100741
791	0.1397252686
792	0.1396037247
793	0.1394418066
794	0.1393320422
795	0.1392451854
796	0.1391434403
797	0.1390400919
798	0.1389442692
799	0.138897488
800	0.1388149911
801	0.1387160129
802	0.1385720672
803	0.1384729473
804	0.1384144661
805	0.1383044595
806	0.1382579874
807	0.1381304269
808	0.138052111
809	0.1379691424
810	0.1378250108
811	0.1376964726
812	0.1376718416
813	0.1375582135
814	0.1374830084
815	0.1373983553
816	0.1373251293
817	0.1372051666
818	0.1371078142
819	0.1369972949
820	0.1369474962
821	0.1368025238
822	0.1367200392
823	0.1366524062
824	0.1366013586
825	0.1364842226
826	0.1363965839
827	0.1362335788
828	0.1361802917
829	0.1361161823
830	0.1360564284
831	0.1359230708
832	0.1357943679
833	0.135714458
834	0.1355709123
835	0.1354568711
836	0.135388998
837	0.1352369873
838	0.1351619124
839	0.1350940695
840	0.1350017744
841	0.1348922194
842	0.1348417338
843	0.1346488284
844	0.1346125927
845	0.1345068551
846	0.1344698767
847	0.1344107807
848	0.1343529392
849	0.1343222559
850	0.1342582769
851	0.134086572
852	0.1339603575
853	0.1338728287
854	0.1337086452
855	0.133634631
856	0.1335596843
857	0.133487128
858	0.1333399843
859	0.1332373221
860	0.1331998017
861	0.1330900343
862	0.1330280011
863	0.1329914065
864	0.1329098661
865	0.1328558815
866	0.1327454964
867	0.132679076
868	0.1326387158
869	0.1325826546
870	0.1324945685
871	0.1324409741
872	0.1323683789
873	0.1322064203
874	0.1320567643
875	0.1320151132
876	0.1318741844
877	0.131787953
878	0.1317379619
879	0.1316959865
880	0.1315570401
881	0.1313656839
882	0.1312570207
883	0.131158201
884	0.1309671879
885	0.1308856413
886	0.1308160978
887	0.1307703561
888	0.1307200058
889	0.1306825024
890	0.1305722992
891	0.1304509755
892	0.1303731704
893	0.1303358748
894	0.1302297065
895	0.1301556231
896	0.1300673094
897	0.1300171803
898	0.1299442887
899	0.1298816371
900	0.1297380004
901	0.1296735939
902	0.129564449
903	0.1294123922
904	0.1293633856
905	0.1292029436
906	0.12910087
907	0.1290612195
908	0.1290108058
909	0.128906231
910	0.128882937
911	0.128807278
912	0.1286987185
913	0.1286172667
914	0.1285232797
915	0.1283150321
916	0.1282493813
917	0.1282083201
918	0.1280868219
919	0.1279676055
920	0.1278556162
921	0.1277675572
922	0.1276463217
923	0.1275816481
924	0.1275105463
925	0.1274212392
926	0.1273687768
927	0.1273272908
928	0.1272494125
929	0.1271864528
930	0.1271436023
931	0.1270729457
932	0.1270203007
933	0.1269592169
934	0.1268991795
935	0.1268458729
936	0.1267793709
937	0.1267405362
938	0.1266330197
939	0.1265495138
940	0.1265057211
941	0.1263821619
942	0.1262956304
943	0.1261473154
944	0.1260854085
945	0.1260116673
946	0.1259483791
947	0.125902659
948	0.1257840767
949	0.1257626277
950	0.125666099
951	0.125627719
952	0.1255848339
953	0.1254830517
954	0.125371076
955	0.1253348942
956	0.1252569344
957	0.1251364226
958	0.1251141157
959	0.1250469955
960	0.1250142923
961	0.1249381843
962	0.1248803922
963	0.1248491435
964	0.1247317356
965	0.1246659502
966	0.1245754604
967	0.1244566113
968	0.1244076693
969	0.1242458058
970	0.1241440498
971	0.1239904514
972	0.1238999026
973	0.123836059
974	0.123747961
975	0.123668716
976	0.123568997
977	0.1234868892
978	0.1233680538
979	0.1232496114
980	0.1231207244
981	0.1230916149
982	0.123066846
983	0.1229703673
984	0.1228634246
985	0.12283544
986	0.1227365968
987	0.122662201
988	0.1225229888
989	0.1224231507
990	0.1222802479
991	0.1221968985
992	0.1221575364
993	0.1221229488
994	0.1220025657
995	0.1218780657
996	0.1218235154
997	0.1217731114
998	0.121629675
999	0.1215704408
